# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
QR_Hya                         G1_V         G2_V            5.006  8.40  0.63  0.0415  0.0007  0.0283  0.0008  0.1087  0.0014  0.0802  0.0020  4.2620  0.0030  4.3060  0.0040  3.7730  0.0050  3.7670  0.0050  0.2620  0.0210  0.1820  0.0230 -0.0100  0.0600
AL_Dor                         F9_V         F9_V           14.905  7.74  0.57  0.0421  0.0002  0.0425  0.0003  0.0381  0.0008  0.0407  0.0008  4.4040  0.0020  4.3990  0.0020  3.7820  0.0050  3.7820  0.0050  0.1590  0.0180  0.1640  0.0180 -0.1000  0.0400
V785_Cep                       none         none            6.504 14.74  0.60  0.0426  0.0028  0.0338  0.0028  0.1535  0.0058  0.1377  0.0060  4.1740  0.0120  4.1960  0.0130  3.7710  0.0070  3.7690  0.0070  0.3400  0.0300  0.3000  0.0300 -0.0600  0.0600
WOCS_12009                     none         none           69.728 13.99  0.62  0.0457  0.0059 -0.1261  0.0029  0.0298  0.0036 -0.1469  0.0195  4.4240  0.0020  4.6070  0.0380  3.7850  0.0070  3.6730  0.0100 -9.9900 -9.9900 -9.9900 -9.9900  0.0300  0.0400
EPIC_219568666                 F8_V         none           11.991 11.86  0.70  0.0496  0.0050 -0.1349  0.0030  0.0711  0.0026 -0.1938  0.0115  4.3460  0.0050  4.6900  0.0220  3.7880  0.0070  3.6530  0.0100  0.2480  0.0280 -0.8180  0.0460  0.0700  0.0300
HP_Dra                         F9_V         F9_V           10.762  7.94  0.55  0.0542  0.0019  0.0390  0.0028  0.1370  0.0038  0.0220  0.0041  4.2180  0.0100  4.4330  0.0110  3.7780  0.0110  3.7700  0.0110  0.3400  0.0440  0.0790  0.0440 -9.9900 -9.9900
KX_Cnc                         F9_V         F9_V           31.220  7.19  0.56  0.0548  0.0012  0.0508  0.0017  0.0223  0.0023  0.0250  0.0021  4.4825  0.0045  4.4388  0.0041  3.7710  0.0070  3.7670  0.0070  0.0830  0.0300  0.0710  0.0300  0.0700  0.1000
ZZ_UMa                         F8_V         G6_V            2.299 10.39  0.54  0.0549  0.0033 -0.0154  0.0023  0.1574  0.0021  0.0315  0.0019  4.1780  0.0040  4.3600  0.0030  3.7750  0.0050  3.7220  0.0070  0.3700  0.0520 -0.0950  0.0300 -9.9900 -9.9900
ASAS_J231922-0852.2            none         none            6.062 10.24  0.46  0.0554  0.0011  0.0026  0.0009  0.2148  0.0024  0.0453  0.0090  4.0640  0.0050  4.3500  0.0180  3.7970  0.0030  3.7950  0.0070 -9.9900 -9.9900 -9.9900 -9.9900 -0.3900  0.0700
ASAS_J061016-3321.3            K5_III       K5_V          199.857  9.71  1.48  0.0599  0.0117  0.0615  0.0045  1.0913  0.0067  1.5227  0.0051  2.3150  0.0140  1.4540  0.0100  3.6320  0.0190  3.5830  0.0210  1.6670  0.0740  2.3190  0.0920  0.0800  0.1000
WASP_0639-32                   F            K              11.658 10.66  0.50  0.0624  0.0016 -0.1061  0.0016  0.2634  0.0054 -0.1372  0.0048  3.9740  0.0110  4.6070  0.0100  3.8010  0.0030  3.7320  0.0060  0.6850  0.0180 -0.3920  0.0280 -0.3300  0.1000
UW_LMi                         G0_V         G0_V            3.874  8.32  0.59  0.0655  0.0007  0.0570  0.0006  0.1271  0.0045  0.1055  0.0055  4.2490  0.0090  4.2840  0.0110  3.7810  0.0050  3.7780  0.0050  0.3320  0.0220  0.2790  0.0230 -0.1000  0.0600
AL_Ari                         F6_V         G7_V            3.747  7.23  0.52  0.0660  0.0005 -0.0404  0.0003  0.1374  0.0028 -0.0434  0.0038  4.2290  0.0050  4.4580  0.0080  3.8040  0.0040  3.7450  0.0050  0.4440  0.0160 -0.1550  0.0190 -0.4200  0.0800
KIC_7037405                    none         none          207.108 12.22  1.13  0.0682  0.0074  0.0453  0.0043  1.1461  0.0029  0.2420  0.0035  2.2131  0.0067  3.9990  0.0071  3.6530  0.0080  3.7850  0.0100 -9.9900 -9.9900 -9.9900 -9.9900 -0.2700  0.1000
EW_Ori                         G0_V         G2_V            6.937  9.90  0.57  0.0693  0.0041  0.0504  0.0035  0.0674  0.0019  0.0402  0.0020  4.3720  0.0050  4.4080  0.0050  3.7830  0.0070  3.7710  0.0070  0.2200  0.0300  0.1200  0.0300  0.0500  0.0900
KIC_9970396                    none         none          235.299 11.75  1.07  0.0711  0.0055  0.0013  0.0037  0.9050  0.0040  0.0449  0.0020  2.6990  0.0110  4.3493  0.0054  3.6870  0.0070  3.7940  0.0090 -9.9900 -9.9900 -9.9900 -9.9900 -0.3500  0.1000
